subject,transition_threat,correct_rejections,false_alarms,hits,misses,dprime
sub1,contains_threat,97,15,16,8,1.5055941377044624
sub1,no_threat,46,2,12,4,2.263943484433901
sub10,contains_threat,112,3,22,1,3.4123862351260303
sub10,no_threat,45,0,15,2,3.3802201173198556
sub100,contains_threat,100,4,18,4,2.575705863612203
sub100,no_threat,55,2,12,5,2.224243042793038
sub101,contains_threat,115,3,15,2,2.9748348684101895
sub101,no_threat,43,0,21,1,3.7903779190964144
sub102,contains_threat,111,1,23,0,4.254924483061913
sub102,no_threat,49,0,15,1,3.6780501139715023
sub103,contains_threat,98,7,26,0,3.5555487730937054
sub103,no_threat,54,1,13,1,3.211837421602182
sub104,contains_threat,101,3,16,9,2.1780170986989296
sub104,no_threat,54,3,5,9,1.211190538421174
sub105,contains_threat,110,1,21,11,2.6040407580666143
sub105,no_threat,46,3,7,1,2.4432125942808716
sub11,contains_threat,105,5,19,6,2.3237267087027473
sub11,no_threat,50,1,12,2,2.8654502187237023
sub12,contains_threat,109,1,27,1,3.8394886478022334
sub12,no_threat,49,1,12,0,3.658334998852136
sub13,contains_threat,105,0,22,2,3.8774657549375626
sub13,no_threat,49,6,14,2,2.243988522039761
sub14,contains_threat,96,15,19,9,1.534156543330619
sub14,no_threat,44,5,8,4,1.6222534158510977
sub15,contains_threat,112,1,26,0,4.306875154369665
sub15,no_threat,48,0,12,1,3.5606247628211527
sub16,contains_threat,126,0,22,1,4.191545334419132
sub16,no_threat,34,0,17,0,4.103855580577641
sub17,contains_threat,111,6,21,2,2.855593348393985
sub17,no_threat,42,2,16,0,3.4827287783564795
sub18,contains_threat,96,15,24,4,2.102067084608541
sub18,no_threat,35,14,11,1,1.7517644218625974
sub19,contains_threat,100,1,21,3,3.25824240989714
sub19,no_threat,55,4,15,1,2.791233710869117
sub2,contains_threat,105,1,18,4,3.0540172315547744
sub2,no_threat,51,4,13,4,2.0771630401884043
sub20,contains_threat,105,3,27,2,3.2336423076658196
sub20,no_threat,48,5,10,0,2.9616917508947376
sub21,contains_threat,98,5,18,7,2.1753901638850515
sub21,no_threat,53,4,14,1,2.739507592005979
sub22,contains_threat,89,14,22,4,2.0503365647882195
sub22,no_threat,51,6,12,2,2.183020000015195
sub23,contains_threat,103,3,25,3,3.0139194972620107
sub23,no_threat,45,9,12,0,2.71226767110436
sub24,contains_threat,104,3,26,1,3.4577024212818763
sub24,no_threat,49,4,12,1,2.624860918943959
sub25,contains_threat,105,7,14,7,1.9133544684437394
sub25,no_threat,47,1,16,3,2.8064600219407247
sub26,contains_threat,108,1,22,2,3.4891435662421175
sub26,no_threat,50,1,16,0,3.787538612955431
sub27,contains_threat,90,17,5,20,0.18502578932139624
sub27,no_threat,46,7,6,9,0.8481227987479711
sub28,contains_threat,115,5,26,4,2.7480358580712787
sub28,no_threat,38,2,8,2,2.294493866162532
sub29,contains_threat,101,0,25,1,4.175888228859832
sub29,no_threat,59,0,13,1,3.67553136536311
sub3,contains_threat,15,97,25,1,0.5000878097599926
sub3,no_threat,7,41,13,1,0.2581593721530788
sub30,contains_threat,109,2,24,3,3.1583534694944997
sub30,no_threat,45,5,10,2,2.107504108835994
sub31,contains_threat,103,4,20,1,3.221134438450185
sub31,no_threat,54,0,18,0,4.299825957437801
sub32,contains_threat,105,6,22,6,2.3297715568566293
sub32,no_threat,48,2,10,1,2.8047841060662604
sub33,contains_threat,113,2,29,1,3.6834038011151424
sub33,no_threat,45,0,10,0,3.9855168388279942
sub34,contains_threat,95,5,22,2,2.8846592076677333
sub34,no_threat,51,10,15,0,2.8194497345198006
sub35,contains_threat,115,3,20,9,2.3665503888228736
sub35,no_threat,37,5,8,3,1.6848631019534883
sub36,contains_threat,98,14,23,2,2.4381579416499157
sub36,no_threat,44,4,13,2,2.3395192764283146
sub37,contains_threat,109,1,23,1,3.7659008356821797
sub37,no_threat,50,1,15,0,3.760760520043652
sub38,contains_threat,108,1,27,2,3.590586127798155
sub38,no_threat,49,2,11,0,3.39545718200732
sub39,contains_threat,90,19,25,8,1.6002983550694192
sub39,no_threat,42,9,5,2,1.3939288861431733
sub4,contains_threat,100,3,21,3,2.9099332504334314
sub4,no_threat,57,0,14,2,3.4306508679344527
sub40,contains_threat,98,1,25,1,3.76330919560761
sub40,no_threat,60,2,12,1,2.99624875772692
sub41,contains_threat,107,0,25,0,4.672232258552165
sub41,no_threat,52,2,13,1,2.9721731951294985
sub42,contains_threat,101,2,24,1,3.5511328324613194
sub42,no_threat,58,0,14,0,4.22172353352827
sub43,contains_threat,121,3,16,4,2.7026742552924925
sub43,no_threat,36,1,17,2,2.9071759876279124
sub44,contains_threat,96,3,24,5,2.7146454645964626
sub44,no_threat,56,6,8,2,2.011526619832426
sub45,contains_threat,100,4,22,2,3.000003108935626
sub45,no_threat,55,1,16,0,3.8274414711862583
sub46,contains_threat,109,4,23,1,3.3116002018487576
sub46,no_threat,46,2,13,2,2.645029436051293
sub47,contains_threat,112,3,23,2,3.182048362876971
sub47,no_threat,45,0,13,2,3.304885378492678
sub48,contains_threat,116,1,17,0,4.149408653876572
sub48,no_threat,43,0,21,2,3.5361498940918317
sub49,contains_threat,121,1,28,1,3.8957793234542653
sub49,no_threat,38,0,11,0,3.9632702313831687
sub5,contains_threat,118,5,27,1,3.3306051946772333
sub5,no_threat,34,4,10,1,2.348729082682932
sub50,contains_threat,107,11,22,4,2.268366479988253
sub50,no_threat,42,1,11,2,2.744626254147221
sub51,contains_threat,108,0,32,0,4.771596126792365
sub51,no_threat,52,1,7,0,3.4486263694081027
sub52,contains_threat,110,3,28,1,3.5154322580606836
sub52,no_threat,43,4,11,0,3.049675293425782
sub53,contains_threat,107,0,21,1,4.114720013724794
sub53,no_threat,52,1,18,0,3.852437335908386
sub54,contains_threat,100,9,22,3,2.4683284783946595
sub54,no_threat,50,1,13,2,2.9080188218715834
sub55,contains_threat,105,0,27,0,4.69607968223743
sub55,no_threat,54,1,12,1,3.172152647900902
sub56,contains_threat,111,10,18,9,1.7798012848558242
sub56,no_threat,33,6,7,6,1.0738773115220874
sub57,contains_threat,115,10,23,2,2.686776799204125
sub57,no_threat,34,1,11,4,2.310796558377801
sub58,contains_threat,114,2,25,4,3.0627237085665513
sub58,no_threat,44,0,10,1,3.4368973316869886
sub59,contains_threat,110,0,23,3,3.7398557275559767
sub59,no_threat,50,0,14,0,4.167683210623052
sub6,contains_threat,114,7,24,2,2.8674631179547916
sub6,no_threat,39,1,12,1,3.033631079221836
sub60,contains_threat,116,2,22,4,3.0007752140533275
sub60,no_threat,42,0,12,2,3.236627362386665
sub61,contains_threat,88,4,24,1,3.2351425757710843
sub61,no_threat,66,2,12,3,2.572615135448559
sub62,contains_threat,116,4,25,1,3.377486584743644
sub62,no_threat,40,0,8,6,2.418819701290899
sub63,contains_threat,107,5,21,3,2.738182286487315
sub63,no_threat,48,0,15,1,3.6704602109084936
sub64,contains_threat,108,4,24,2,3.077701349556567
sub64,no_threat,46,2,11,3,2.362952557683355
sub65,contains_threat,102,0,24,0,4.639782819918926
sub65,no_threat,55,3,12,4,2.1893944865206745
sub66,contains_threat,99,4,20,1,3.2034170344521433
sub66,no_threat,56,1,18,1,3.3849540623228664
sub67,contains_threat,95,2,28,3,3.18116684184495
sub67,no_threat,57,6,9,0,2.917552268142007
sub68,contains_threat,119,1,26,1,3.8557759220569916
sub68,no_threat,39,1,13,0,3.594507378117706
sub69,contains_threat,92,6,23,2,2.812726527141524
sub69,no_threat,59,3,14,1,2.911229715326587
sub7,contains_threat,109,12,21,4,2.2097395882086834
sub7,no_threat,39,0,14,1,3.5594136249084816
sub70,contains_threat,99,7,8,15,1.10099991951115
sub70,no_threat,50,4,8,9,1.3232602764115555
sub71,contains_threat,112,4,25,3,2.9403712098214676
sub71,no_threat,43,1,12,0,3.60273967433462
sub72,contains_threat,107,0,25,1,4.195549245680164
sub72,no_threat,50,3,14,0,3.3494786602047872
sub73,contains_threat,106,2,21,5,2.8250379125287393
sub73,no_threat,49,3,14,0,3.339882312035197
sub74,contains_threat,107,7,21,2,2.770551147130777
sub74,no_threat,46,0,16,1,3.686034071690418
sub75,contains_threat,110,8,24,2,2.7901914815785
sub75,no_threat,37,5,14,0,2.970255455071304
sub76,contains_threat,114,0,25,0,4.693695200301965
sub76,no_threat,46,0,15,0,4.165771812011431
sub77,contains_threat,106,1,20,2,3.433905143178724
sub77,no_threat,52,1,17,1,3.3266934039617206
sub78,contains_threat,106,0,26,0,4.684494482469766
sub78,no_threat,52,2,12,2,2.658043195686599
sub79,contains_threat,104,0,23,1,4.147429170879094
sub79,no_threat,53,4,14,1,2.739507592005979
sub8,contains_threat,118,7,22,8,2.1589623254928405
sub8,no_threat,31,4,6,4,1.38023349795524
sub80,contains_threat,111,0,25,2,3.9599436897779787
sub80,no_threat,48,1,12,1,3.1226603999945715
sub81,contains_threat,107,2,25,0,4.07032540000103
sub81,no_threat,50,1,15,0,3.760760520043652
sub82,contains_threat,113,3,19,3,2.9092055056442754
sub82,no_threat,44,0,17,1,3.698735530217144
sub83,contains_threat,109,2,22,4,2.975425655220193
sub83,no_threat,47,2,9,5,1.985548454039268
sub84,contains_threat,108,0,27,0,4.705654866744504
sub84,no_threat,52,1,12,0,3.6833308635742625
sub85,contains_threat,107,2,27,5,2.967845135207681
sub85,no_threat,45,6,4,4,1.1503493803760079
sub86,contains_threat,111,0,18,1,4.054308526539796
sub86,no_threat,48,2,20,0,3.6351871223375314
sub87,contains_threat,126,0,28,0,4.771805561594146
sub87,no_threat,34,0,12,0,3.95817479404079
sub88,contains_threat,90,8,17,8,1.815132455113897
sub88,no_threat,58,4,6,9,1.2280316833567346
sub89,contains_threat,113,1,27,1,3.8532762329308445
sub89,no_threat,46,0,11,1,3.5014196468967045
sub9,contains_threat,106,9,24,1,2.9668720631892223
sub9,no_threat,45,0,14,1,3.6129061065466326
sub90,contains_threat,118,7,17,11,1.8210663148946167
sub90,no_threat,33,2,4,8,1.084216093220705
sub91,contains_threat,120,3,11,15,1.72077679405292
sub91,no_threat,32,5,8,6,1.2271709218705373
sub92,contains_threat,113,0,26,0,4.7061727086681735
sub92,no_threat,48,0,13,0,4.121501061717023
sub93,contains_threat,107,0,26,4,3.659744656143495
sub93,no_threat,52,1,10,0,3.6051274546404555
sub94,contains_threat,116,1,30,1,3.910842551594458
sub94,no_threat,43,1,7,1,2.8013362019176156
sub95,contains_threat,106,3,19,1,3.319952795878633
sub95,no_threat,51,0,19,1,3.80626093031597
sub96,contains_threat,108,1,28,2,3.608337061828093
sub96,no_threat,48,3,10,0,3.1867685058012603
sub97,contains_threat,109,5,20,2,2.899802111034599
sub97,no_threat,44,2,13,5,2.1695892451174656
sub98,contains_threat,119,2,27,4,3.121211385653818
sub98,no_threat,40,0,6,2,2.840381494352572
sub99,contains_threat,117,4,19,1,3.2532679833047027
sub99,no_threat,38,1,20,0,3.761216738339304
